epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5107,1.74494,7.24661,0.00209,0.702,0.70059,0.75354,0.41842,1.5048,5.41654,0.00272,0.000663317,0.000663317,0.000663317
2,86.787,1.60202,3.6608,0.00184,0.79533,0.79849,0.85451,0.4764,1.46649,2.88615,0.00257,0.00131243,0.00131243,0.00131243
3,130.329,1.56798,2.01959,0.00174,0.7878,0.81007,0.86666,0.47978,1.47529,1.83478,0.00265,0.00194394,0.00194394,0.00194394
4,170.303,1.51554,1.4483,0.00177,0.8356,0.80528,0.89636,0.5282,1.4015,1.25607,0.00254,0.0019208,0.0019208,0.0019208
5,208.981,1.47431,1.0478,0.00166,0.82458,0.8229,0.88585,0.51423,1.45307,1.14165,0.00254,0.0018944,0.0018944,0.0018944
6,245.403,1.49226,0.90374,0.00162,0.8451,0.86399,0.91919,0.57488,1.31424,0.91099,0.00234,0.001868,0.001868,0.001868
7,283.904,1.41334,0.75909,0.00153,0.84989,0.87182,0.92745,0.58608,1.28266,0.86778,0.00223,0.0018416,0.0018416,0.0018416
8,322.175,1.36912,0.69194,0.00151,0.87077,0.85812,0.92495,0.55647,1.35988,0.77493,0.00247,0.0018152,0.0018152,0.0018152
9,360.141,1.32894,0.70104,0.00142,0.82519,0.86399,0.91009,0.55019,1.37918,0.95704,0.00245,0.0017888,0.0017888,0.0017888
10,400.75,1.34764,0.64952,0.00145,0.84069,0.87084,0.92388,0.5614,1.38819,0.75332,0.00248,0.0017624,0.0017624,0.0017624
11,440.249,1.32938,0.62221,0.00142,0.8515,0.86008,0.92201,0.59592,1.29994,0.69313,0.00231,0.001736,0.001736,0.001736
12,477.848,1.31012,0.59995,0.00141,0.83958,0.8591,0.91064,0.55177,1.3802,0.74186,0.00242,0.0017096,0.0017096,0.0017096
13,511.628,1.35104,0.55467,0.00142,0.84071,0.88063,0.93417,0.59856,1.28321,0.65102,0.00229,0.0016832,0.0016832,0.0016832
14,549.43,1.28556,0.55245,0.00141,0.85777,0.86204,0.92647,0.59201,1.31359,0.67187,0.00228,0.0016568,0.0016568,0.0016568
15,586.936,1.24663,0.51382,0.00129,0.88473,0.83464,0.93156,0.59326,1.31601,0.6528,0.00232,0.0016304,0.0016304,0.0016304
16,623.943,1.23688,0.50439,0.0013,0.82266,0.87476,0.92145,0.58908,1.26744,0.6681,0.00217,0.001604,0.001604,0.001604
17,661.144,1.23772,0.50558,0.00136,0.86389,0.8816,0.93593,0.58924,1.32976,0.62314,0.00237,0.0015776,0.0015776,0.0015776
18,690.931,1.24035,0.48732,0.00132,0.87779,0.90117,0.94001,0.62987,1.2364,0.57114,0.00217,0.0015512,0.0015512,0.0015512
19,721.051,1.22691,0.48397,0.00132,0.87716,0.85941,0.93328,0.56234,1.39421,0.63665,0.00254,0.0015248,0.0015248,0.0015248
20,751.574,1.213,0.47041,0.0013,0.87402,0.8865,0.94253,0.62121,1.25327,0.58093,0.0022,0.0014984,0.0014984,0.0014984
21,785.049,1.1885,0.46723,0.00123,0.88308,0.86301,0.92461,0.584,1.31788,0.64019,0.00239,0.001472,0.001472,0.001472
22,822.133,1.17522,0.44192,0.00123,0.86627,0.88454,0.93956,0.62627,1.23138,0.59065,0.00218,0.0014456,0.0014456,0.0014456
23,858.637,1.17209,0.43474,0.00125,0.86837,0.86497,0.92614,0.59903,1.28713,0.64732,0.00236,0.0014192,0.0014192,0.0014192
24,895.567,1.16205,0.42099,0.00125,0.88567,0.87925,0.94095,0.61657,1.26381,0.58011,0.00218,0.0013928,0.0013928,0.0013928
25,930.358,1.16251,0.43493,0.00123,0.87607,0.89224,0.93426,0.62468,1.25773,0.58756,0.00222,0.0013664,0.0013664,0.0013664
26,967.482,1.14623,0.41659,0.00121,0.90316,0.87476,0.94362,0.6272,1.24702,0.56004,0.00221,0.00134,0.00134,0.00134
27,1004.09,1.15211,0.4148,0.00122,0.85867,0.89041,0.9304,0.61837,1.21442,0.62163,0.00213,0.0013136,0.0013136,0.0013136
28,1041.52,1.16008,0.40427,0.00119,0.90849,0.87431,0.94612,0.62857,1.23124,0.57971,0.00222,0.0012872,0.0012872,0.0012872
29,1078.46,1.1282,0.3989,0.00118,0.90057,0.89432,0.95318,0.6479,1.18124,0.53277,0.00204,0.0012608,0.0012608,0.0012608
30,1115.37,1.12328,0.40734,0.00119,0.88516,0.88997,0.93671,0.62865,1.21805,0.59058,0.00217,0.0012344,0.0012344,0.0012344
31,1152.82,1.15037,0.39862,0.00119,0.90273,0.87175,0.94853,0.6323,1.20964,0.59365,0.00212,0.001208,0.001208,0.001208
32,1190.79,1.10396,0.39653,0.00115,0.89545,0.89669,0.95032,0.62692,1.24272,0.56666,0.00219,0.0011816,0.0011816,0.0011816
33,1228.57,1.12487,0.40357,0.00117,0.88054,0.92074,0.94552,0.63737,1.21789,0.5231,0.00206,0.0011552,0.0011552,0.0011552
34,1266.69,1.08754,0.40287,0.00115,0.89065,0.87476,0.94694,0.64118,1.20721,0.54353,0.00215,0.0011288,0.0011288,0.0011288
35,1304.51,1.09698,0.38146,0.00115,0.91224,0.8591,0.94223,0.61284,1.27571,0.57424,0.00225,0.0011024,0.0011024,0.0011024
36,1343.84,1.0892,0.3784,0.00111,0.88626,0.89139,0.95065,0.64275,1.19705,0.55225,0.0021,0.001076,0.001076,0.001076
37,1383.13,1.06594,0.36966,0.0011,0.90424,0.89432,0.9543,0.62995,1.23997,0.52631,0.00222,0.0010496,0.0010496,0.0010496
