epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.821,0.91677,0.31536,0.001,0.92157,0.94278,0.97092,0.73738,0.97682,0.40347,0.00165,0.000665041,0.000665041,0.000665041
2,278.319,1.00625,0.35228,0.00111,0.93393,0.93496,0.97306,0.74289,0.9356,0.39271,0.00146,0.00131413,0.00131413,0.00131413
3,410.627,1.02102,0.36103,0.00112,0.93552,0.95198,0.97985,0.72254,1.00048,0.39753,0.0016,0.00194562,0.00194562,0.00194562
4,543.115,1.04622,0.36272,0.00117,0.92836,0.93192,0.97483,0.72525,0.98581,0.38256,0.0016,0.0019208,0.0019208,0.0019208
5,676.022,1.03885,0.36275,0.00115,0.91781,0.94016,0.96788,0.71261,1.01811,0.44462,0.00165,0.0018944,0.0018944,0.0018944
6,808.628,1.0254,0.35607,0.00114,0.91973,0.9622,0.98229,0.74079,0.95547,0.37049,0.00153,0.001868,0.001868,0.001868
7,940.887,1.01681,0.35272,0.00111,0.93293,0.92734,0.97931,0.74412,0.92175,0.37884,0.00144,0.0018416,0.0018416,0.0018416
8,1073.58,0.98899,0.33387,0.0011,0.90631,0.94751,0.97559,0.74199,0.92701,0.394,0.0015,0.0018152,0.0018152,0.0018152
9,1206.89,1.0156,0.35334,0.0011,0.92533,0.95171,0.97354,0.74691,0.92293,0.36679,0.00147,0.0017888,0.0017888,0.0017888
10,1340.33,0.99946,0.34564,0.00108,0.92413,0.95911,0.97948,0.74039,0.95467,0.38711,0.00152,0.0017624,0.0017624,0.0017624
11,1472.71,0.99585,0.34344,0.00109,0.91928,0.95276,0.97284,0.73977,0.9525,0.37264,0.00154,0.001736,0.001736,0.001736
12,1605.77,0.98872,0.3548,0.00108,0.92303,0.95058,0.97879,0.74803,0.93504,0.39778,0.0015,0.0017096,0.0017096,0.0017096
13,1738.82,0.97598,0.33324,0.00106,0.93089,0.94754,0.97935,0.73091,0.97091,0.38524,0.00164,0.0016832,0.0016832,0.0016832
14,1871.94,0.97113,0.31639,0.00106,0.94064,0.91916,0.96945,0.73953,0.92739,0.40837,0.00147,0.0016568,0.0016568,0.0016568
15,2004.29,0.95985,0.31501,0.00104,0.93503,0.92926,0.9703,0.71899,1.02303,0.40768,0.00168,0.0016304,0.0016304,0.0016304
16,2142.89,0.956,0.31351,0.00105,0.93175,0.92283,0.97135,0.759,0.86823,0.40441,0.00132,0.001604,0.001604,0.001604
17,2278.3,0.95075,0.31754,0.00104,0.91705,0.95276,0.97225,0.72725,0.98091,0.38343,0.0016,0.0015776,0.0015776,0.0015776
18,2412.33,0.95543,0.31417,0.00104,0.9363,0.94912,0.98026,0.7587,0.88434,0.33901,0.00138,0.0015512,0.0015512,0.0015512
19,2554.19,0.92779,0.30878,0.00101,0.93879,0.92073,0.96885,0.73963,0.92746,0.43744,0.00146,0.0015248,0.0015248,0.0015248
20,2697.45,0.93635,0.30689,0.001,0.91384,0.95171,0.98092,0.75473,0.90003,0.36657,0.00139,0.0014984,0.0014984,0.0014984
21,2840.1,0.92733,0.30925,0.001,0.92852,0.94102,0.97952,0.75995,0.88013,0.36335,0.00136,0.001472,0.001472,0.001472
22,2984.29,0.93854,0.30314,0.00101,0.9212,0.94499,0.97869,0.75521,0.89809,0.39344,0.00144,0.0014456,0.0014456,0.0014456
23,3125.69,0.9149,0.29737,0.00098,0.93631,0.92608,0.98031,0.73948,0.94572,0.39421,0.00155,0.0014192,0.0014192,0.0014192
24,3269.49,0.91881,0.30251,0.00098,0.93176,0.94908,0.98185,0.74248,0.92309,0.36577,0.00151,0.0013928,0.0013928,0.0013928
25,3412.41,0.91627,0.29876,0.00097,0.92196,0.94883,0.97863,0.76424,0.86159,0.37463,0.00134,0.0013664,0.0013664,0.0013664
26,3557.11,0.91426,0.294,0.001,0.91855,0.94719,0.97919,0.76136,0.86908,0.383,0.00134,0.00134,0.00134,0.00134
27,3701.04,0.88263,0.29269,0.00093,0.93016,0.94385,0.98116,0.76037,0.88679,0.37109,0.00138,0.0013136,0.0013136,0.0013136
28,3841.46,0.88566,0.28719,0.00094,0.92478,0.94864,0.98082,0.75673,0.87734,0.37118,0.00134,0.0012872,0.0012872,0.0012872
29,3984.05,0.88631,0.28197,0.00096,0.93243,0.92714,0.97922,0.77127,0.8467,0.38147,0.00132,0.0012608,0.0012608,0.0012608
30,4124.98,0.87883,0.28002,0.00093,0.92919,0.93911,0.98013,0.76731,0.86286,0.36573,0.00136,0.0012344,0.0012344,0.0012344
31,4267.7,0.88824,0.27833,0.00093,0.92875,0.94226,0.97376,0.75882,0.87746,0.38598,0.0014,0.001208,0.001208,0.001208
32,4411.34,0.85277,0.27935,0.00088,0.92167,0.93071,0.97038,0.75953,0.85545,0.40279,0.00134,0.0011816,0.0011816,0.0011816
33,4558.03,0.86925,0.28479,0.0009,0.91656,0.95748,0.98169,0.77404,0.84405,0.3683,0.0013,0.0011552,0.0011552,0.0011552
34,4706.25,0.8617,0.27588,0.00091,0.92997,0.94331,0.98059,0.76632,0.85634,0.35966,0.00129,0.0011288,0.0011288,0.0011288
35,4853.36,0.86613,0.27596,0.0009,0.91113,0.94698,0.97209,0.76918,0.83232,0.39136,0.00127,0.0011024,0.0011024,0.0011024
36,5000.23,0.83518,0.27076,0.00088,0.91759,0.95852,0.98037,0.77646,0.82583,0.3561,0.00126,0.001076,0.001076,0.001076
37,5146,0.85582,0.26857,0.0009,0.93883,0.91391,0.97132,0.76949,0.82457,0.41484,0.00125,0.0010496,0.0010496,0.0010496
38,5292.84,0.84631,0.26694,0.00089,0.93905,0.92651,0.97191,0.7676,0.83601,0.39349,0.00131,0.0010232,0.0010232,0.0010232
39,5440.59,0.84115,0.26777,0.00087,0.92911,0.95433,0.98262,0.77262,0.84734,0.3451,0.00131,0.0009968,0.0009968,0.0009968
40,5586.11,0.83049,0.26589,0.00088,0.93809,0.93056,0.98134,0.77639,0.83028,0.37502,0.00126,0.0009704,0.0009704,0.0009704
41,5732.08,0.82954,0.26477,0.00084,0.91959,0.94488,0.98266,0.778,0.81596,0.36156,0.00124,0.000944,0.000944,0.000944
42,5876.35,0.82654,0.26497,0.00086,0.92941,0.93386,0.98024,0.77891,0.81033,0.37599,0.00124,0.0009176,0.0009176,0.0009176
43,6019.72,0.80844,0.26075,0.00084,0.91555,0.95615,0.98151,0.77943,0.81942,0.36995,0.00124,0.0008912,0.0008912,0.0008912
44,6160.85,0.81538,0.2628,0.00083,0.90781,0.96145,0.98101,0.77578,0.81942,0.3643,0.00127,0.0008648,0.0008648,0.0008648
45,6305.42,0.81801,0.2578,0.00085,0.90805,0.96168,0.98047,0.77913,0.81496,0.36391,0.00124,0.0008384,0.0008384,0.0008384
46,6452.07,0.80864,0.2564,0.00083,0.92363,0.9587,0.98218,0.78172,0.81022,0.35837,0.00126,0.000812,0.000812,0.000812
47,6594.95,0.80912,0.26053,0.00083,0.92205,0.95381,0.98244,0.781,0.81605,0.37043,0.00126,0.0007856,0.0007856,0.0007856
48,6736.95,0.80544,0.25409,0.00082,0.9182,0.95853,0.98223,0.78022,0.81758,0.36667,0.00125,0.0007592,0.0007592,0.0007592
49,6877.8,0.77494,0.24573,0.00082,0.93889,0.93491,0.98196,0.77391,0.82926,0.37015,0.00127,0.0007328,0.0007328,0.0007328
50,7020.63,0.78599,0.24459,0.0008,0.94287,0.93561,0.97339,0.77687,0.81294,0.38319,0.00125,0.0007064,0.0007064,0.0007064
51,7160.84,0.79441,0.24771,0.00082,0.93131,0.95853,0.98256,0.78498,0.80355,0.36285,0.00122,0.00068,0.00068,0.00068
52,7305.53,0.78178,0.24052,0.0008,0.92235,0.95223,0.97416,0.77526,0.82252,0.39102,0.00126,0.0006536,0.0006536,0.0006536
53,7449.68,0.78783,0.24542,0.00081,0.92299,0.96483,0.9831,0.7836,0.8154,0.36418,0.00127,0.0006272,0.0006272,0.0006272
54,7594.68,0.76877,0.23973,0.0008,0.92383,0.96273,0.98252,0.77963,0.82139,0.3572,0.00127,0.0006008,0.0006008,0.0006008
55,7738.6,0.77535,0.24085,0.00079,0.92999,0.95538,0.9749,0.78159,0.80867,0.39021,0.00126,0.0005744,0.0005744,0.0005744
56,7880.29,0.76322,0.24069,0.00078,0.93026,0.94526,0.97438,0.77735,0.82676,0.3947,0.00128,0.000548,0.000548,0.000548
57,8021.11,0.76572,0.23689,0.00079,0.92779,0.95276,0.97499,0.7808,0.80835,0.38229,0.00124,0.0005216,0.0005216,0.0005216
58,8160.36,0.76665,0.24052,0.00077,0.93224,0.95171,0.97464,0.78109,0.8063,0.38741,0.00124,0.0004952,0.0004952,0.0004952
59,8298.78,0.74839,0.23341,0.00075,0.92452,0.95155,0.97387,0.77806,0.81429,0.40104,0.00125,0.0004688,0.0004688,0.0004688
60,8436.61,0.75883,0.23991,0.00077,0.92943,0.94278,0.97402,0.7797,0.80471,0.39439,0.00124,0.0004424,0.0004424,0.0004424
61,8575.46,0.7566,0.23679,0.00076,0.9279,0.95249,0.97354,0.78275,0.79193,0.40501,0.0012,0.000416,0.000416,0.000416
62,8715.21,0.74359,0.23355,0.00074,0.92663,0.95468,0.97405,0.78125,0.79488,0.3769,0.0012,0.0003896,0.0003896,0.0003896
63,8855.87,0.74492,0.23182,0.00076,0.9333,0.94751,0.9742,0.78083,0.7902,0.40684,0.0012,0.0003632,0.0003632,0.0003632
64,8998.06,0.75352,0.23239,0.00075,0.92878,0.94541,0.97354,0.78133,0.79058,0.40626,0.0012,0.0003368,0.0003368,0.0003368
65,9137.88,0.74774,0.23791,0.00076,0.92542,0.94121,0.97338,0.78149,0.78423,0.40154,0.00118,0.0003104,0.0003104,0.0003104
66,9277.87,0.70942,0.21768,0.0008,0.92531,0.94952,0.97411,0.7815,0.79184,0.39742,0.0012,0.000284,0.000284,0.000284
67,9420.65,0.70704,0.21474,0.00079,0.93517,0.94647,0.97425,0.77617,0.79674,0.415,0.00121,0.0002576,0.0002576,0.0002576
68,9559.41,0.69784,0.21044,0.00078,0.93493,0.95013,0.97452,0.77507,0.80514,0.40725,0.00122,0.0002312,0.0002312,0.0002312
69,9699.86,0.69801,0.21457,0.00079,0.93114,0.94404,0.9656,0.77605,0.79546,0.42267,0.00122,0.0002048,0.0002048,0.0002048
70,9838.29,0.69549,0.20656,0.00078,0.93622,0.94016,0.96537,0.77535,0.79032,0.42504,0.0012,0.0001784,0.0001784,0.0001784
71,9978.45,0.69104,0.21144,0.00077,0.92902,0.94814,0.97422,0.77744,0.80344,0.41354,0.00123,0.000152,0.000152,0.000152
